<<<<<<< HEAD
year,area_code,area_name,total_health_2021,n_very_good_2021,n_good_2021,n_fair_2021,n_bad_2021,n_very_bad_2021,n_bad_or_very_bad_2021,pct_very_good_2021,pct_good_2021,pct_fair_2021,pct_bad_2021,pct_very_bad_2021,pct_bad_or_very_bad_2021
2021,E07000032,Amber Valley,126208,56072,44733,18298,5613,1492,7105,44.43,35.44,14.5,4.45,1.18,5.63
2021,E07000033,Bolsover,80273,33546,27509,12940,4844,1434,6278,41.79,34.27,16.12,6.03,1.79,7.82
2021,E07000034,Chesterfield,103569,42969,36035,17062,5874,1629,7503,41.49,34.79,16.47,5.67,1.57,7.24
2021,E07000035,Derbyshire Dales,71540,34005,24678,9585,2534,738,3272,47.53,34.5,13.4,3.54,1.03,4.57
2021,E07000036,Erewash,112906,50053,39919,16552,5020,1362,6382,44.33,35.36,14.66,4.45,1.21,5.65
2021,E07000037,High Peak,90933,43301,31083,12007,3535,1007,4542,47.62,34.18,13.2,3.89,1.11,4.99
2021,E07000038,North East Derbyshire,102001,44381,35060,15945,5166,1449,6615,43.51,34.37,15.63,5.06,1.42,6.49
2021,E07000039,South Derbyshire,107208,51669,36956,13642,3853,1088,4941,48.2,34.47,12.72,3.59,1.01,4.61
2021,E07000040,East Devon,150827,69973,52881,20650,5798,1525,7323,46.39,35.06,13.69,3.84,1.01,4.86
2021,E07000041,Exeter,130709,66498,43054,15152,4665,1340,6005,50.87,32.94,11.59,3.57,1.03,4.59
2021,E07000042,Mid Devon,82852,39073,28866,10954,3085,874,3959,47.16,34.84,13.22,3.72,1.05,4.78
2021,E07000043,North Devon,98611,46135,33154,13705,4352,1265,5617,46.78,33.62,13.9,4.41,1.28,5.7
2021,E07000044,South Hams,88627,43499,29405,11292,3413,1018,4431,49.08,33.18,12.74,3.85,1.15,5.0
2021,E07000045,Teignbridge,134803,61426,47053,19026,5739,1559,7298,45.57,34.91,14.11,4.26,1.16,5.41
2021,E07000046,Torridge,68114,29852,23713,10453,3216,880,4096,43.83,34.81,15.35,4.72,1.29,6.01
2021,E07000047,West Devon,57096,26007,19802,8236,2380,671,3051,45.55,34.68,14.42,4.17,1.18,5.34
2021,E07000061,Eastbourne,101689,43956,35844,15503,4946,1440,6386,43.23,35.25,15.25,4.86,1.42,6.28
2021,E07000062,Hastings,90994,38395,31864,14122,5025,1588,6613,42.2,35.02,15.52,5.52,1.75,7.27
2021,E07000063,Lewes,99905,45533,34732,14156,4297,1187,5484,45.58,34.77,14.17,4.3,1.19,5.49
2021,E07000064,Rother,93110,39362,33607,14561,4365,1215,5580,42.27,36.09,15.64,4.69,1.3,5.99
2021,E07000065,Wealden,160150,77218,55635,20209,5627,1461,7088,48.22,34.74,12.62,3.51,0.91,4.43
2021,E07000066,Basildon,187571,90914,64185,23022,7229,2221,9450,48.47,34.22,12.27,3.85,1.18,5.04
2021,E07000067,Braintree,155268,73375,55346,19655,5431,1461,6892,47.26,35.65,12.66,3.5,0.94,4.44
2021,E07000068,Brentwood,77047,41588,24413,8141,2214,691,2905,53.98,31.69,10.57,2.87,0.9,3.77
2021,E07000069,Castle Point,89587,40925,31438,12324,3807,1093,4900,45.68,35.09,13.76,4.25,1.22,5.47
2021,E07000070,Chelmsford,181523,93611,61388,19993,5089,1442,6531,51.57,33.82,11.01,2.8,0.79,3.6
2021,E07000071,Colchester,192715,94777,66963,22916,6281,1778,8059,49.18,34.75,11.89,3.26,0.92,4.18
2021,E07000072,Epping Forest,134980,69924,44362,15163,4214,1317,5531,51.8,32.87,11.23,3.12,0.98,4.1
2021,E07000073,Harlow,93328,44559,32106,11913,3659,1091,4750,47.74,34.4,12.76,3.92,1.17,5.09
2021,E07000074,Maldon,66208,30903,23469,8677,2487,672,3159,46.68,35.45,13.11,3.76,1.01,4.77
2021,E07000075,Rochford,85661,41866,29571,10588,2837,799,3636,48.87,34.52,12.36,3.31,0.93,4.24
2021,E07000076,Tendring,148292,58492,52819,25460,8891,2630,11521,39.44,35.62,17.17,6.0,1.77,7.77
2021,E07000077,Uttlesford,91341,49323,29898,9180,2301,639,2940,54.0,32.73,10.05,2.52,0.7,3.22
2021,E07000078,Cheltenham,118837,60237,39932,13876,3695,1097,4792,50.69,33.6,11.68,3.11,0.92,4.03
2021,E07000079,Cotswold,90832,45781,31041,10559,2698,753,3451,50.4,34.17,11.62,2.97,0.83,3.8
2021,E07000080,Forest of Dean,87004,38990,30908,12355,3662,1089,4751,44.81,35.52,14.2,4.21,1.25,5.46
2021,E07000081,Gloucester,132416,61882,46736,17259,5172,1367,6539,46.73,35.29,13.03,3.91,1.03,4.94
2021,E07000082,Stroud,121102,58893,42058,15125,4014,1012,5026,48.63,34.73,12.49,3.31,0.84,4.15
2021,E07000083,Tewkesbury,94884,47236,32541,11385,2956,766,3722,49.78,34.3,12.0,3.12,0.81,3.92
2021,E07000084,Basingstoke and Deane,185157,92794,64764,20776,5419,1404,6823,50.12,34.98,11.22,2.93,0.76,3.68
2021,E07000085,East Hampshire,125744,63828,43139,14273,3599,905,4504,50.76,34.31,11.35,2.86,0.72,3.58
2021,E07000086,Eastleigh,136443,67981,47400,15896,4088,1078,5166,49.82,34.74,11.65,3.0,0.79,3.79
2021,E07000087,Fareham,114513,55185,40519,14190,3698,921,4619,48.19,35.38,12.39,3.23,0.8,4.03
2021,E07000088,Gosport,81952,35504,29829,12134,3587,898,4485,43.32,36.4,14.81,4.38,1.1,5.47
2021,E07000089,Hart,99408,54555,32704,9344,2177,628,2805,54.88,32.9,9.4,2.19,0.63,2.82
2021,E07000090,Havant,124208,55028,44185,18023,5437,1535,6972,44.3,35.57,14.51,4.38,1.24,5.61
2021,E07000091,New Forest,175785,81075,62425,23866,6534,1885,8419,46.12,35.51,13.58,3.72,1.07,4.79
2021,E07000092,Rushmoor,99756,49428,34814,11769,2965,780,3745,49.55,34.9,11.8,2.97,0.78,3.75
2021,E07000093,Test Valley,130492,65696,44842,14925,3958,1071,5029,50.34,34.36,11.44,3.03,0.82,3.85
2021,E07000094,Winchester,127443,67850,41989,13236,3466,902,4368,53.24,32.95,10.39,2.72,0.71,3.43
2021,E07000095,Broxbourne,99007,49630,33422,11621,3354,980,4334,50.13,33.76,11.74,3.39,0.99,4.38
2021,E07000096,Dacorum,155081,80604,51271,17171,4784,1251,6035,51.98,33.06,11.07,3.08,0.81,3.89
2021,E07000098,Hertsmere,107828,57652,34388,11602,3205,981,4186,53.47,31.89,10.76,2.97,0.91,3.88
2021,E07000099,North Hertfordshire,133210,67385,45317,15363,4089,1056,5145,50.59,34.02,11.53,3.07,0.79,3.86
2021,E07000102,Three Rivers,93771,50330,30357,9788,2586,710,3296,53.67,32.37,10.44,2.76,0.76,3.51
2021,E07000103,Watford,102246,53559,34277,10601,2955,854,3809,52.38,33.52,10.37,2.89,0.84,3.73
2021,E07000105,Ashford,132747,64334,45779,16551,4748,1335,6083,48.46,34.49,12.47,3.58,1.01,4.58
2021,E07000106,Canterbury,157429,74034,54597,20762,6224,1812,8036,47.03,34.68,13.19,3.95,1.15,5.1
2021,E07000107,Dartford,116753,61128,38680,12556,3390,999,4389,52.36,33.13,10.75,2.9,0.86,3.76
2021,E07000108,Dover,116410,51455,40711,17036,5611,1597,7208,44.2,34.97,14.63,4.82,1.37,6.19
2021,E07000109,Gravesham,106900,52013,36416,13291,4088,1092,5180,48.66,34.07,12.43,3.82,1.02,4.85
2021,E07000110,Maidstone,175782,87494,59781,21018,5832,1657,7489,49.77,34.01,11.96,3.32,0.94,4.26
2021,E07000111,Sevenoaks,120515,63410,38931,13407,3660,1107,4767,52.62,32.3,11.12,3.04,0.92,3.96
2021,E07000112,Folkestone and Hythe,109759,47404,38432,16801,5519,1603,7122,43.19,35.01,15.31,5.03,1.46,6.49
2021,E07000113,Swale,151678,68967,52738,21338,6688,1947,8635,45.47,34.77,14.07,4.41,1.28,5.69
2021,E07000114,Thanet,140587,59000,49262,22148,7823,2354,10177,41.97,35.04,15.75,5.56,1.67,7.24
2021,E07000115,Tonbridge and Malling,132201,67896,44052,14959,4164,1130,5294,51.36,33.32,11.32,3.15,0.85,4.0
2021,E07000116,Tunbridge Wells,115311,60833,37512,12586,3415,965,4380,52.76,32.53,10.91,2.96,0.84,3.8
2021,E07000117,Burnley,94645,42648,31570,13808,5073,1546,6619,45.06,33.36,14.59,5.36,1.63,6.99
2021,E07000118,Chorley,117732,57332,39109,15198,4735,1358,6093,48.7,33.22,12.91,4.02,1.15,5.18
2021,E07000119,Fylde,81374,37427,27421,11815,3641,1070,4711,45.99,33.7,14.52,4.47,1.31,5.79
2021,E07000120,Hyndburn,82234,36121,28210,12149,4387,1367,5754,43.92,34.3,14.77,5.33,1.66,7.0
2021,E07000121,Lancaster,142934,66454,48857,19619,6214,1790,8004,46.49,34.18,13.73,4.35,1.25,5.6
2021,E07000122,Pendle,95760,44752,32255,13182,4286,1285,5571,46.73,33.68,13.77,4.48,1.34,5.82
2021,E07000123,Preston,147835,71585,48918,19091,6379,1862,8241,48.42,33.09,12.91,4.31,1.26,5.57
2021,E07000124,Ribble Valley,61561,32360,19764,7117,1855,465,2320,52.57,32.1,11.56,3.01,0.76,3.77
2021,E07000125,Rossendale,70873,33310,23556,9673,3430,904,4334,47.0,33.24,13.65,4.84,1.28,6.12
2021,E07000126,South Ribble,111035,53172,37823,14535,4318,1187,5505,47.89,34.06,13.09,3.89,1.07,4.96
2021,E07000127,West Lancashire,117430,56460,38918,15404,5114,1534,6648,48.08,33.14,13.12,4.35,1.31,5.66
2021,E07000128,Wyre,111946,49623,37251,17326,5902,1844,7746,44.33,33.28,15.48,5.27,1.65,6.92
2021,E07000129,Blaby,102926,50473,35496,12636,3328,993,4321,49.04,34.49,12.28,3.23,0.96,4.2
2021,E07000130,Charnwood,183971,90255,63617,22344,6051,1704,7755,49.06,34.58,12.15,3.29,0.93,4.22
2021,E07000131,Harborough,97627,50282,32717,11016,2850,762,3612,51.5,33.51,11.28,2.92,0.78,3.7
2021,E07000132,Hinckley and Bosworth,113640,52913,40394,14967,4164,1202,5366,46.56,35.55,13.17,3.66,1.06,4.72
2021,E07000133,Melton,51752,24748,18186,6757,1622,439,2061,47.82,35.14,13.06,3.13,0.85,3.98
2021,E07000134,North West Leicestershire,104706,49180,36846,13648,3916,1116,5032,46.97,35.19,13.03,3.74,1.07,4.81
2021,E07000135,Oadby and Wigston,57747,26568,20744,7661,2170,604,2774,46.01,35.92,13.27,3.76,1.05,4.8
2021,E07000136,Boston,70502,29747,26118,10548,3193,896,4089,42.19,37.05,14.96,4.53,1.27,5.8
2021,E07000137,East Lindsey,142296,53934,50793,25949,8969,2651,11620,37.9,35.7,18.24,6.3,1.86,8.17
2021,E07000138,Lincoln,103813,45492,38213,14444,4461,1203,5664,43.82,36.81,13.91,4.3,1.16,5.46
2021,E07000139,North Kesteven,118074,54648,41825,15872,4509,1220,5729,46.28,35.42,13.44,3.82,1.03,4.85
2021,E07000140,South Holland,95122,39386,35883,14451,4268,1134,5402,41.41,37.72,15.19,4.49,1.19,5.68
2021,E07000141,South Kesteven,143404,65973,51176,19418,5456,1381,6837,46.0,35.69,13.54,3.8,0.96,4.77
2021,E07000142,West Lindsey,95153,41693,34181,13948,4227,1104,5331,43.82,35.92,14.66,4.44,1.16,5.6
2021,E07000143,Breckland,141477,60208,52416,21131,6109,1613,7722,42.56,37.05,14.94,4.32,1.14,5.46
2021,E07000144,Broadland,131721,59373,47997,18304,4810,1237,6047,45.07,36.44,13.9,3.65,0.94,4.59
2021,E07000145,Great Yarmouth,99748,40086,35834,16599,5610,1619,7229,40.19,35.92,16.64,5.62,1.62,7.25
2021,E07000146,King's Lynn and West Norfolk,154325,64413,56961,23789,7106,2056,9162,41.74,36.91,15.41,4.6,1.33,5.94
2021,E07000147,North Norfolk,102981,40520,38727,17522,4821,1391,6212,39.35,37.61,17.01,4.68,1.35,6.03
2021,E07000148,Norwich,143921,63232,52223,20346,6382,1738,8120,43.94,36.29,14.14,4.43,1.21,5.64
2021,E07000149,South Norfolk,141948,66743,50340,18701,4877,1287,6164,47.02,35.46,13.17,3.44,0.91,4.34
2021,E07000163,Craven,56927,27225,19981,7305,1886,530,2416,47.82,35.1,12.83,3.31,0.93,4.24
2021,E07000164,Hambleton,90690,43195,31946,11542,3121,886,4007,47.63,35.23,12.73,3.44,0.98,4.42
2021,E07000165,Harrogate,162667,82888,54506,18981,4971,1321,6292,50.96,33.51,11.67,3.06,0.81,3.87
2021,E07000166,Richmondshire,49777,24862,16864,6058,1550,443,1993,49.95,33.88,12.17,3.11,0.89,4.0
2021,E07000167,Ryedale,54707,25123,19488,7563,1952,581,2533,45.92,35.62,13.82,3.57,1.06,4.63
2021,E07000168,Scarborough,108737,44934,39080,17296,5775,1652,7427,41.32,35.94,15.91,5.31,1.52,6.83
2021,E07000169,Selby,91988,44845,31791,11351,3138,863,4001,48.75,34.56,12.34,3.41,0.94,4.35
2021,E07000170,Ashfield,126300,53556,43876,19912,6947,2009,8956,42.4,34.74,15.77,5.5,1.59,7.09
2021,E07000171,Bassetlaw,117804,51679,40938,17862,5618,1707,7325,43.87,34.75,15.16,4.77,1.45,6.22
2021,E07000172,Broxtowe,110940,51331,38407,15476,4462,1264,5726,46.27,34.62,13.95,4.02,1.14,5.16
2021,E07000173,Gedling,117263,53976,40850,16183,4840,1414,6254,46.03,34.84,13.8,4.13,1.21,5.33
2021,E07000174,Mansfield,110482,47123,38004,17302,6249,1804,8053,42.65,34.4,15.66,5.66,1.63,7.29
2021,E07000175,Newark and Sherwood,122956,54954,43072,17806,5553,1571,7124,44.69,35.03,14.48,4.52,1.28,5.79
2021,E07000176,Rushcliffe,119077,63235,38139,13096,3629,978,4607,53.1,32.03,11.0,3.05,0.82,3.87
2021,E07000177,Cherwell,161018,81759,55298,17966,4699,1296,5995,50.78,34.34,11.16,2.92,0.8,3.72
2021,E07000178,Oxford,162039,88767,52154,15703,4221,1194,5415,54.78,32.19,9.69,2.6,0.74,3.34
2021,E07000179,South Oxfordshire,149085,79641,49194,15408,3831,1011,4842,53.42,33.0,10.34,2.57,0.68,3.25
2021,E07000180,Vale of White Horse,138913,72726,46700,14989,3585,913,4498,52.35,33.62,10.79,2.58,0.66,3.24
2021,E07000181,West Oxfordshire,114237,58560,38834,12766,3198,879,4077,51.26,33.99,11.18,2.8,0.77,3.57
2021,E07000187,Mendip,116090,55396,40072,15165,4312,1145,5457,47.72,34.52,13.06,3.71,0.99,4.7
2021,E07000188,Sedgemoor,125343,55925,44639,17763,5484,1532,7016,44.62,35.61,14.17,4.38,1.22,5.6
2021,E07000189,South Somerset,172671,79386,61211,23507,6637,1930,8567,45.98,35.45,13.61,3.84,1.12,4.96
2021,E07000192,Cannock Chase,100520,43559,35779,14742,4955,1485,6440,43.33,35.59,14.67,4.93,1.48,6.41
2021,E07000193,East Staffordshire,124019,57717,43989,16319,4637,1357,5994,46.54,35.47,13.16,3.74,1.09,4.83
2021,E07000194,Lichfield,106436,50143,37056,13924,4162,1151,5313,47.11,34.82,13.08,3.91,1.08,4.99
2021,E07000195,Newcastle-under-Lyme,123300,54189,43520,17878,5972,1741,7713,43.95,35.3,14.5,4.84,1.41,6.26
2021,E07000196,South Staffordshire,110472,49718,39468,15421,4538,1327,5865,45.01,35.73,13.96,4.11,1.2,5.31
2021,E07000197,Stafford,136867,64032,47929,18200,5203,1503,6706,46.78,35.02,13.3,3.8,1.1,4.9
2021,E07000198,Staffordshire Moorlands,95847,42805,33976,13660,4144,1262,5406,44.66,35.45,14.25,4.32,1.32,5.64
2021,E07000199,Tamworth,78647,35798,27433,10922,3434,1060,4494,45.52,34.88,13.89,4.37,1.35,5.71
2021,E07000200,Babergh,92338,42772,33135,12352,3225,854,4079,46.32,35.88,13.38,3.49,0.92,4.42
2021,E07000202,Ipswich,139642,63728,49957,18905,5562,1490,7052,45.64,35.78,13.54,3.98,1.07,5.05
2021,E07000203,Mid Suffolk,102699,48205,36960,13204,3454,876,4330,46.94,35.99,12.86,3.36,0.85,4.22
2021,E07000207,Elmbridge,138755,81741,40971,12067,3038,938,3976,58.91,29.53,8.7,2.19,0.68,2.87
2021,E07000208,Epsom and Ewell,80938,43925,26427,8110,1940,536,2476,54.27,32.65,10.02,2.4,0.66,3.06
2021,E07000209,Guildford,143650,78671,46690,13717,3531,1041,4572,54.77,32.5,9.55,2.46,0.72,3.18
2021,E07000210,Mole Valley,87386,45952,28806,9411,2501,716,3217,52.59,32.96,10.77,2.86,0.82,3.68
2021,E07000211,Reigate and Banstead,150846,81155,49031,15541,3979,1140,5119,53.8,32.5,10.3,2.64,0.76,3.39
2021,E07000212,Runnymede,88079,46128,29446,9344,2487,674,3161,52.37,33.43,10.61,2.82,0.77,3.59
2021,E07000213,Spelthorne,102956,51913,35432,11642,3072,897,3969,50.42,34.41,11.31,2.98,0.87,3.86
2021,E07000214,Surrey Heath,90453,48670,29656,9208,2249,670,2919,53.81,32.79,10.18,2.49,0.74,3.23
2021,E07000215,Tandridge,87877,45917,28955,9685,2570,750,3320,52.25,32.95,11.02,2.92,0.85,3.78
2021,E07000216,Waverley,128229,70073,41167,12883,3236,870,4106,54.65,32.1,10.05,2.52,0.68,3.2
2021,E07000217,Woking,103942,55399,34440,10559,2776,768,3544,53.3,33.13,10.16,2.67,0.74,3.41
2021,E07000218,North Warwickshire,65034,29587,22596,9157,2864,830,3694,45.49,34.74,14.08,4.4,1.28,5.68
2021,E07000219,Nuneaton and Bedworth,134197,59458,47478,19379,6075,1807,7882,44.31,35.38,14.44,4.53,1.35,5.87
2021,E07000220,Rugby,114363,55844,39851,13777,3887,1004,4891,48.83,34.85,12.05,3.4,0.88,4.28
2021,E07000221,Stratford-on-Avon,134725,66877,46177,16193,4275,1203,5478,49.64,34.28,12.02,3.17,0.89,4.07
2021,E07000222,Warwick,148453,77332,49195,16306,4393,1227,5620,52.09,33.14,10.98,2.96,0.83,3.79
2021,E07000223,Adur,64544,29272,22573,9108,2800,791,3591,45.35,34.97,14.11,4.34,1.23,5.56
2021,E07000224,Arun,164889,71215,60303,24419,7110,1842,8952,43.19,36.57,14.81,4.31,1.12,5.43
2021,E07000225,Chichester,124068,60839,42522,15366,4178,1163,5341,49.04,34.27,12.39,3.37,0.94,4.3
2021,E07000226,Crawley,118493,58152,41451,13754,3975,1161,5136,49.08,34.98,11.61,3.35,0.98,4.33
2021,E07000227,Horsham,146778,75551,49827,16218,4067,1115,5182,51.47,33.95,11.05,2.77,0.76,3.53
2021,E07000228,Mid Sussex,152566,80741,50460,16029,4180,1156,5336,52.92,33.07,10.51,2.74,0.76,3.5
2021,E07000229,Worthing,111340,50406,39682,15418,4526,1308,5834,45.27,35.64,13.85,4.07,1.17,5.24
2021,E07000234,Bromsgrove,99183,50253,32850,11705,3329,1046,4375,50.67,33.12,11.8,3.36,1.05,4.41
2021,E07000235,Malvern Hills,79486,36926,27733,10843,3096,888,3984,46.46,34.89,13.64,3.9,1.12,5.01
2021,E07000236,Redditch,87038,40480,30616,11431,3547,964,4511,46.51,35.18,13.13,4.08,1.11,5.18
